module,method,path,purpose,auth,guards,pathParams,queryParams,requestSchema,requestFields,statusCodes,responseFormats,sourceFile
admin,GET,/api/admin/me,Read data,session_cookie,,,,,,401,json,src/app/api/admin/me/route.ts
admin,GET,/api/admin/migrations,Read data,system_session,requireSystemAdmin,,,,,200,json,src/app/api/admin/migrations/route.ts
admin,POST,/api/admin/migrations/run,Create or execute action,system_session,requireSystemAdmin,,,schema,dryRun|migrationId,400|404|409|500,json,src/app/api/admin/migrations/run/route.ts
admin,GET,/api/admin/overview,Read data,system_session,requireSystemAdmin,,,,,200,json,src/app/api/admin/overview/route.ts
admin,GET,/api/admin/registrations,Read data,public_or_system,,,status,,,500,json,src/app/api/admin/registrations/route.ts
admin,POST,/api/admin/registrations/{id}/approve,Approve entity workflow state,public_or_system,,id,,,,400|404|500,json,src/app/api/admin/registrations/[id]/approve/route.ts
admin,POST,/api/admin/registrations/{id}/reject,Create or execute action,public_or_system,,id,,,,400|404|500,json,src/app/api/admin/registrations/[id]/reject/route.ts
admin,POST,/api/admin/support/reset-password,Create or execute action,system_session,requireSystemAdmin,,,schema,email|password|userId,400|404,json,src/app/api/admin/support/reset-password/route.ts
admin,GET,/api/admin/tenants,Read data,system_session,requireSystemAdmin,,,,,200,json,src/app/api/admin/tenants/route.ts
admin,PATCH,/api/admin/tenants/{companyId},Update existing data,system_session,requireSystemAdmin,companyId,,schema,status,400,json,src/app/api/admin/tenants/[companyId]/route.ts
admin,GET,/api/admin/tenants/export,Export data,system_session,requireSystemAdmin,,q|status,,,200,csv|json,src/app/api/admin/tenants/export/route.ts
analytics,GET,/api/analytics/export,Export data,session_cookie,requireCompanyRole,,companyId|endDate|startDate,,,400|401|403,csv|json,src/app/api/analytics/export/route.ts
analytics,GET,/api/analytics/overview,Read data,session_cookie,requireReportAccess,,companyId|endDate|refresh|startDate,,,400|401|403,json,src/app/api/analytics/overview/route.ts
attendance,GET,/api/attendance/holidays,Read data,session_cookie,requireCompanyMembership|requireCompanyRole,,companyId,attendanceHolidaySchema (src/lib/validators/attendance.ts),companyId|date|isPaid|name,400|401|403,json,src/app/api/attendance/holidays/route.ts
attendance,POST,/api/attendance/holidays,Create or execute action,session_cookie,requireCompanyMembership|requireCompanyRole,,companyId,attendanceHolidaySchema (src/lib/validators/attendance.ts),companyId|date|isPaid|name,400|401|403,json,src/app/api/attendance/holidays/route.ts
attendance,DELETE,/api/attendance/holidays/{holidayId},Delete or revoke data,session_cookie,requireCompanyRole,holidayId,companyId,attendanceHolidayUpdateSchema (src/lib/validators/attendance.ts),,400|401|403,json,src/app/api/attendance/holidays/[holidayId]/route.ts
attendance,PATCH,/api/attendance/holidays/{holidayId},Update existing data,session_cookie,requireCompanyRole,holidayId,companyId,attendanceHolidayUpdateSchema (src/lib/validators/attendance.ts),,400|401|403,json,src/app/api/attendance/holidays/[holidayId]/route.ts
attendance,GET,/api/attendance/records,Read data,session_cookie,requireCompanyMembership|requireCompanyRole,,companyId|employeeId|endDate|startDate|status,attendanceRecordSchema (src/lib/validators/attendance.ts),checkIn|checkOut|companyId|date|employeeId|notes|source|status,400|401|403|404|409,json,src/app/api/attendance/records/route.ts
attendance,POST,/api/attendance/records,Create or execute action,session_cookie,requireCompanyMembership|requireCompanyRole,,companyId|employeeId|endDate|startDate|status,attendanceRecordSchema (src/lib/validators/attendance.ts),checkIn|checkOut|companyId|date|employeeId|notes|source|status,400|401|403|404|409,json,src/app/api/attendance/records/route.ts
attendance,DELETE,/api/attendance/records/{recordId},Delete or revoke data,session_cookie,requireCompanyRole,recordId,companyId,attendanceRecordUpdateSchema (src/lib/validators/attendance.ts),,400|401|403|404,json,src/app/api/attendance/records/[recordId]/route.ts
attendance,PATCH,/api/attendance/records/{recordId},Update existing data,session_cookie,requireCompanyRole,recordId,companyId,attendanceRecordUpdateSchema (src/lib/validators/attendance.ts),,400|401|403|404,json,src/app/api/attendance/records/[recordId]/route.ts
attendance,GET,/api/attendance/records/export,Export data,session_cookie,requireCompanyMembership,,companyId|employeeId|endDate|startDate|status,,,400|401|403|404,csv|json,src/app/api/attendance/records/export/route.ts
attendance,GET,/api/attendance/records/import,Import or upload data,session_cookie,requireCompanyRole|requireHrAccess,,companyId|lang,attendanceImportSchema (src/lib/validators/attendance.ts),companyId|csv,400|401|403,csv|json,src/app/api/attendance/records/import/route.ts
attendance,POST,/api/attendance/records/import,Import or upload data,session_cookie,requireCompanyRole|requireHrAccess,,companyId|lang,attendanceImportSchema (src/lib/validators/attendance.ts),companyId|csv,400|401|403,csv|json,src/app/api/attendance/records/import/route.ts
attendance,POST,/api/attendance/self/check-in,Create or execute action,session_cookie,requireCompanyMembership,,,,,400|401|403|404,json,src/app/api/attendance/self/check-in/route.ts
attendance,POST,/api/attendance/self/check-out,Create or execute action,session_cookie,requireCompanyMembership,,,,,400|401|403|404,json,src/app/api/attendance/self/check-out/route.ts
attendance,GET,/api/attendance/settings,Read data,session_cookie,requireCompanyMembership|requireCompanyRole,,companyId,attendanceSettingsSchema (src/lib/validators/attendance.ts)|attendanceSettingsUpdateSchema (src/lib/validators/attendance.ts),companyId|graceMinutes|overtimeThresholdMinutes|roundingMinutes|shiftEnd|shiftStart|weekendDays,400|401|403,json,src/app/api/attendance/settings/route.ts
attendance,PUT,/api/attendance/settings,Update existing data,session_cookie,requireCompanyMembership|requireCompanyRole,,companyId,attendanceSettingsSchema (src/lib/validators/attendance.ts)|attendanceSettingsUpdateSchema (src/lib/validators/attendance.ts),companyId|graceMinutes|overtimeThresholdMinutes|roundingMinutes|shiftEnd|shiftStart|weekendDays,400|401|403,json,src/app/api/attendance/settings/route.ts
attendance,GET,/api/attendance/summary,Read data,session_cookie,requireCompanyMembership,,companyId|employeeId|endDate|startDate,,,400|401|403|404,json,src/app/api/attendance/summary/route.ts
audit-logs,GET,/api/audit-logs,Read data,session_cookie,requireAdminAccess,,action|companyId|endDate|entity|limit|q|startDate|userId,,,400|401|403,json,src/app/api/audit-logs/route.ts
audit-logs,GET,/api/audit-logs/export,Export data,session_cookie,requireAdminAccess,,action|companyId|endDate|entity|limit|q|startDate|userId,,,400|401|403,csv|json,src/app/api/audit-logs/export/route.ts
auth,POST,/api/auth/forgot,Create or execute action,public_or_system,,,,schema,email|locale,400,json,src/app/api/auth/forgot/route.ts
auth,GET,/api/auth/mfa-status,Read data,public_or_system,,,email,,,200,json,src/app/api/auth/mfa-status/route.ts
auth,POST,/api/auth/reset,Create or execute action,public_or_system,,,,schema,password|token,400|410,json,src/app/api/auth/reset/route.ts
billing,GET,/api/billing/invoices,Read data,session_cookie,requireCompanyRole,,companyId,billingInvoiceCreateSchema (src/lib/validators/billing.ts),amount|companyId|currency|periodEnd|periodStart|planId|planName|status|subscriptionId,400|401|403,json,src/app/api/billing/invoices/route.ts
billing,POST,/api/billing/invoices,Create or execute action,session_cookie,requireCompanyRole,,companyId,billingInvoiceCreateSchema (src/lib/validators/billing.ts),amount|companyId|currency|periodEnd|periodStart|planId|planName|status|subscriptionId,400|401|403,json,src/app/api/billing/invoices/route.ts
billing,PATCH,/api/billing/invoices/{invoiceId},Update existing data,session_cookie,requireCompanyRole,invoiceId,,billingInvoiceUpdateSchema (src/lib/validators/billing.ts),companyId|status,400|401|403|404,json,src/app/api/billing/invoices/[invoiceId]/route.ts
